video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
jkngyZjRETs,Hitesh Choudhary,Appwrite crash course | Open Source Backend as a Service | Reactjs,"Appwrite is an end-to-end Backend-as-a-Service (Baas) platform for web, mobile, and Flutter developers. Appwrite abstracts the complexity and repetitiveness required to build a modern backend API from scratch and allows developers to build secure applications faster and easily integrate their applications with user authentication & multiple sign-in methods. It includes a database for storing and querying users and team data, storage and file management, image manipulation, Cloud Functions and more. For more information, please visit 
https://appwrite.io/

Pick best UI color for your projects:
https://UIColorPicker.com

Desktop: https://amzn.to/2GZ0C46
Laptop that I use: https://amzn.to/2Goui9Q
Wallpaper: https://imgur.com/a/FYHfk

Facebook: https://www.facebook.com/HiteshChoudharyPage
Instagram: https://instagram.com/hiteshchoudharyofficial
homepage: http://www.hiteshChoudhary.com
Download LearnCodeOnline.in  app from Google play store and Apple App store
https://play.google.com/store/apps/details?id=in.learncodeonline.lco

Disclaimer:
It doesn't feel good to have a disclaimer in every video but this is how the world is right now. 
All videos are for educational purpose and use them wisely. Any video may have a slight mistake, please take decisions based on your research. This video is not forcing anything on you.

All Amazon links are affiliate links (If any).","['javascript', 'appwrite', 'reactjs', 'backend', 'baas', 'open source', 'learn appwrite']",2022-07-11T11:34:36Z,8933,330,,38,PT1H11M24S,hd,false
hduwjJ043Mg,Hitesh Choudhary,Save your code snippets in this open source tool,,,2022-07-11T10:59:46Z,9790,1099,,9,PT51S,hd,false
eEirQbMZEWI,Hitesh Choudhary,Full Stack Java Script Web Developer | induction class,"Link to my programming Video Library:
https://courses.LearnCodeOnline.in/learn

Pick best UI color for your projects:
https://UIColorPicker.com

Desktop: https://amzn.to/2GZ0C46
Laptop that I use: https://amzn.to/2Goui9Q
Wallpaper: https://imgur.com/a/FYHfk

Facebook: https://www.facebook.com/HiteshChoudharyPage
Instagram: https://instagram.com/hiteshchoudharyofficial
homepage: http://www.hiteshChoudhary.com
Download LearnCodeOnline.in  app from Google play store and Apple App store
https://play.google.com/store/apps/details?id=in.learncodeonline.lco

Disclaimer:
It doesn't feel good to have a disclaimer in every video but this is how the world is right now. 
All videos are for educational purpose and use them wisely. Any video may have a slight mistake, please take decisions based on your research. This video is not forcing anything on you.

All Amazon links are affiliate links (If any).",,2022-07-10T09:01:29Z,34849,1304,,57,PT4H19M47S,hd,false
pOqT7yczlj4,Hitesh Choudhary,How to install and setup Appwrite locally,"https://appwrite.io/

Link to my programming Video Library:
https://courses.LearnCodeOnline.in/learn

Pick best UI color for your projects:
https://UIColorPicker.com

Desktop: https://amzn.to/2GZ0C46
Laptop that I use: https://amzn.to/2Goui9Q
Wallpaper: https://imgur.com/a/FYHfk

Facebook: https://www.facebook.com/HiteshChoudharyPage
Instagram: https://instagram.com/hiteshchoudharyofficial
homepage: http://www.hiteshChoudhary.com
Download LearnCodeOnline.in  app from Google play store and Apple App store
https://play.google.com/store/apps/details?id=in.learncodeonline.lco

Disclaimer:
It doesn't feel good to have a disclaimer in every video but this is how the world is right now. 
All videos are for educational purpose and use them wisely. Any video may have a slight mistake, please take decisions based on your research. This video is not forcing anything on you.

All Amazon links are affiliate links (If any).","['Programming', 'javascript', 'appwrite', 'firebase', 'open source']",2022-07-09T15:25:53Z,3989,189,,13,PT7M38S,hd,false
s1WQ0eEpqqg,Hitesh Choudhary,How to install Mongodb 5 | latest MAC installation,"After brew installation, here are commands:
xcode-select --install
brew tap mongodb/brew
brew install mongodb-community@5.0
brew services start mongodb-community@5.0
brew services stop mongodb-community@5.0
mongod --config /opt/homebrew/etc/mongod.conf --fork
mongosh


Link to my programming Video Library:
https://courses.LearnCodeOnline.in/learn

Pick best UI color for your projects:
https://UIColorPicker.com

Desktop: https://amzn.to/2GZ0C46
Laptop that I use: https://amzn.to/2Goui9Q
Wallpaper: https://imgur.com/a/FYHfk

Facebook: https://www.facebook.com/HiteshChoudharyPage
Instagram: https://instagram.com/hiteshchoudharyofficial
homepage: http://www.hiteshChoudhary.com
Download LearnCodeOnline.in  app from Google play store and Apple App store
https://play.google.com/store/apps/details?id=in.learncodeonline.lco

Disclaimer:
It doesn't feel good to have a disclaimer in every video but this is how the world is right now. 
All videos are for educational purpose and use them wisely. Any video may have a slight mistake, please take decisions based on your research. This video is not forcing anything on you.

All Amazon links are affiliate links (If any).","['databases', 'installation', 'mongodb installation', 'learn mongodb', 'machine learning', 'ai', 'atlas']",2022-07-09T12:48:08Z,7334,214,,52,PT9M17S,hd,false
FSNE3gZaTIw,Hitesh Choudhary,Join me up in Full stack javascript Job guarantee bootcamp,"It's now or never. Join the full stack javascript Job guarantee bootcamp. Pro quality videos + weekend live classes to guide you and give you challenges that makes you a real developer. Goal is to make you a pro developer. Me with my amazing team is all set and ready, are you ?
Join this bootcamp and use code HITESH10 for additional 10% off, 
http://hc.lco.dev/jscamp

Direct call to our Team incase of any queries 

8788503778
6260726925
9538303385
8660034247
9880055539

Link to my programming Video Library:
https://courses.LearnCodeOnline.in/learn

Pick best UI color for your projects:
https://UIColorPicker.com

Desktop: https://amzn.to/2GZ0C46
Laptop that I use: https://amzn.to/2Goui9Q
Wallpaper: https://imgur.com/a/FYHfk

Facebook: https://www.facebook.com/HiteshChoudharyPage
Instagram: https://instagram.com/hiteshchoudharyofficial
homepage: http://www.hiteshChoudhary.com
Download LearnCodeOnline.in  app from Google play store and Apple App store
https://play.google.com/store/apps/details?id=in.learncodeonline.lco

Disclaimer:
It doesn't feel good to have a disclaimer in every video but this is how the world is right now. 
All videos are for educational purpose and use them wisely. Any video may have a slight mistake, please take decisions based on your research. This video is not forcing anything on you.

All Amazon links are affiliate links (If any).","['Programming', 'LearnCodeOnline', 'python', 'javascript']",2022-07-08T10:35:28Z,8865,383,,49,PT42S,hd,false
5aTjC_f0PM0,Hitesh Choudhary,iNeuron and NativeBase present Hackathon 4.0 | 24 hour Live,"Welcome to iNeuron Hackathon 4.0 with our official partner NativeBase.
This is a 24 hour event where we will put the BEST to the TEST.",,2022-07-02T07:15:30Z,7197,207,,4,PT22M13S,hd,false
4MISIBOEXks,Hitesh Choudhary,Udemy course announcement,,,2022-07-01T09:51:40Z,16218,890,,31,PT42S,hd,false
RDZeIFSdNdQ,Hitesh Choudhary,An Experiment,"This video is just an experiment and a glimpse of upcoming editing style. and yes, I am still editing my own videos. 😁

Link to my programming Video Library:
https://courses.LearnCodeOnline.in/learn

Pick best UI color for your projects:
https://UIColorPicker.com

Desktop: https://amzn.to/2GZ0C46
Laptop that I use: https://amzn.to/2Goui9Q
Wallpaper: https://imgur.com/a/FYHfk

Facebook: https://www.facebook.com/HiteshChoudharyPage
Instagram: https://instagram.com/hiteshchoudharyofficial
homepage: http://www.hiteshChoudhary.com
Download LearnCodeOnline.in  app from Google play store and Apple App store
https://play.google.com/store/apps/details?id=in.learncodeonline.lco

Disclaimer:
It doesn't feel good to have a disclaimer in every video but this is how the world is right now. 
All videos are for educational purpose and use them wisely. Any video may have a slight mistake, please take decisions based on your research. This video is not forcing anything on you.

All Amazon links are affiliate links (If any).","['Programming', 'python', 'javascript', 'system design', 'machine learning']",2022-07-01T04:51:54Z,7444,607,,65,PT34S,hd,false
LOjU3jWiXtI,Hitesh Choudhary,CoderCommunity.io | building biggest coder community,"Welcome to https://codercommunity.io , a platform to for the coders, by the coders. Trying to build biggest community for coders. A place where you can ask any question, regardless, where you are learning from.
Just be kind to other developers as they are in learning phase, just like me and let's help each other to learn.
All of this is powered by our new startup, https://www.pensil.in/ 

Link to my programming Video Library:
https://courses.LearnCodeOnline.in/learn

Pick best UI color for your projects:
https://UIColorPicker.com

Desktop: https://amzn.to/2GZ0C46
Laptop that I use: https://amzn.to/2Goui9Q
Wallpaper: https://imgur.com/a/FYHfk

Facebook: https://www.facebook.com/HiteshChoudharyPage
Instagram: https://instagram.com/hiteshchoudharyofficial
homepage: http://www.hiteshChoudhary.com
Download LearnCodeOnline.in  app from Google play store and Apple App store
https://play.google.com/store/apps/details?id=in.learncodeonline.lco

Disclaimer:
It doesn't feel good to have a disclaimer in every video but this is how the world is right now. 
All videos are for educational purpose and use them wisely. Any video may have a slight mistake, please take decisions based on your research. This video is not forcing anything on you.

All Amazon links are affiliate links (If any).","['Programming', 'python', 'javascript', 'coding community', 'machine learning', 'ai', 'deep learning', 'react native', 'iOS', 'Android', 'developers']",2022-06-29T10:39:48Z,8936,675,,97,PT7M,hd,false
